nom,adresse,arrondissement,arrondissement2,telephone,prix,cuisine1,cuisine2,cuisine3,cuisine4,cuisine5,cuisine6,cuisine7
Le Couteau/The Knife,"4627, rue St-Denis",Le Plateau-Mont-Royal,Rue St-Denis,(514) 940-0444,1,Café,,,,,,
PM - Prêt à Manger,"1809, rue Ste-Catherine O",Centre-ville,,(514) 931-8889,1,Chinoise,Szechuannaise,Thaïlandaise,Asiatique,,,
Fiddler's Green,"1224, rue Bishop",Centre-ville,,(514) 861-7777,1.5,Pub Food,Irlandaise,Fish & Chips,Grillades,,,
Station W,"3852, rue Wellington",Verdun/Lasalle,,(514) 508-9768,1,Café,Desserts et Sucreries,Sandwichs,Grilled Cheese,,,
Bellavista,"1365, Montée Masson",Duvernay,,(450) 661-2544,2,Italienne,Française,Tartare,,,,
Café Chez Simon,"505, boul. de Maisonneuve O",Centre-ville,,(514) 350-0880,1,Italienne,,,,,,
Comptoir Restaurant,"210, rue Richelieu",St-Jean-Sur-Richelieu,,(450) 741-4412,2,Du Terroir,Bio,Fusion,,,,
Chows Wok,"8840, boul. Leduc",Quartier Dix30,Brossard,(450) 678-8818,1,Chinoise,Asiatique,Szechuannaise,,,,
Trophy's Resto Bar,"750, boul. Crémazie O",Parc-Extension,,(514) 277-8385,1,Pub Food,Burgers,Grecque,Poutine,Sandwichs,,
Le Fumet Pizzeria,"40, boul. Norbert Morin",Sainte-Agathe-des-Monts,,(819) 326-5565,1,Pizza,,,,,,
Cafe Sandwich,"1616, rue Ste-Catherine O",Centre-ville,,(514) 989-2236,2,Café,,,,,,
Chez Fabien,"778, rue St Pierre",Terrebonne/Lachenaie,,(450) 492-6032,2.5,Italienne,,,,,,
Nouveau Maison Kam,"11779, boul. de Pierrefonds",Pierrefonds-Roxboro,,(514) 685-6688,1.5,Chinoise,Asiatique,Szechuannaise,,,,
Fourquet Fourchette,"1887, ave. Bourgogne",Chambly,,(450) 447-6370,2,Du Terroir,Française,Tartare,,,,
Nacho Libre,"913, rue Beaubien E",Rosemont-Petite-Patrie,Villeray-Saint-Michel,(514) 273-6222,1,Mexicaine,,,,,,
Madhatter Mansion,"1208, rue Crescent",Rue Crescent,Centre-ville,(514) 987-9988,1,Pub Food,Américaine,Sandwichs,Burgers,,,
Minced,"4147, rue St-Denis",Le Plateau-Mont-Royal,,(514) 419-9818,1.5,Burgers,,,,,,
Chez Ming,"1015, cote du Beaver Hall",Vieux-Montréal,,(514) 874-7690,1,Chinoise,,,,,,
Levantine,"1613, rue William",Griffintown,Le Sud Ouest,(514) 937-3636,1,Moyen Orientale,Syrienne,Halal,Végétarienne,,,
Pigeon,"1394, boul. de Maisonneuve O.",Centre-ville,,(514) 773-1705,1,Café,Végétarienne,Végétalienne,Desserts et Sucreries,,,
Lord William Pub,"265, rue des Seigneurs",Griffintown,,(514) 925-3777,1.5,Pub Food,,,,,,
Tiki Sun,"1463, chemin de Chambly",Longueuil,Vieux Longueuil,(450) 674-2888,1,Chinoise,Szechuannaise,Asiatique,,,,
Brochetterie Sonia Pizzeria,"103, rue St Georges",Saint-Jérôme,,(450) 436-2575,1,Pizza,,,,,,
Vice Versa,"901, rue Royale",Trois-Rivières,,(819) 693-7272,2,Française,Grecque,Méditerranéenne,Fruits de mer/Poissons,Végétarienne,,
Nguyen Phi,"6260, chemin de la Cote-des-Neiges",Côte-des-Neiges,,(514) 344-1863,1,Vietnamienne,,,,,,
La Gargote Des Antiquaires,"1524, rue Notre-Dame O",Griffintown,,(514) 678-6429,2,Française,,,,,,
Nikos Pizza & Déli,"5745, boul Gouin O",Ville Saint-Laurent,,(514) 331-5860,1,Pizza,Sandwichs,Poutine,Réconfort,Salades,,
Social Bar & Cie,"150, rue St-Jacques",Granby,,(450) 991-3336,2,Tapas,,,,,,
Fabio Trattoria Pizzeria,"398, rue Main",Vaudreuil-Dorion,,(450) 458-0505,1.5,Italienne,Pizza,,,,,
Le Poutine Bar,"4750, boul. Ste-Rose",Fabreville,Laval-Ouest,(450) 314-4343,1,Poutine,Sandwichs,Burgers,Réconfort,,,
Sai Gwan,"14, rue de la Gauchetière E",Quartier Chinois,,(514) 227-2868,1,Chinoise,,,,,,
Les 3 Maria,"4886A, boul. des Sources",Dollard-des-Ormeaux,,(514) 683-1333,1,Portugaise,Grillades,Desserts et Sucreries,,,,
Planète Thai-Chine,"6240, boul. St-Laurent",Petite-Italie,Rosemont-Petite-Patrie,(514) 549-3453,1,Thaïlandaise,Chinoise,Asiatique,,,,
Rôtisserie & Grillades Lachine,"1050, rue Notre Dame",Lachine,,(514) 637-4242,1,Rôtisserie,Grillades,Sandwichs,,,,
Teddy's Deli-Bar,"12825, rue Sherbrooke E",RDP-Pointe-aux-Trembles,,(514) 642-2879,1,Déjeuner,Réconfort,,,,,
Café Les Sens,"1674, chemin du Tremblay",Longueuil,,(450) 332-3911,1,Café,Sandwichs,Déjeuner,,,,
Le Petit Dep,"179, rue St-Paul O",Vieux-Montréal,,(514) 284-9162,1,Café,Marché,Crème glacée,Salades,Sandwichs,Desserts et Sucreries,
Miss Bella,"192, boul. Cure-Poirier O",Longueuil,,(450) 679-3640,1,Italienne,,,,,,
H2 o Et Sushi Bar,"475, ave. Dumont",Dorval,Ville Saint-Laurent,(514) 633-6629,2,Japonaise,Sushi,,,,,
Pépé Restaurant,"405, ave. Ste-Anne",Saint-Hyacinthe,,(450) 773-8004,2,Italienne,Méditerranéenne,,,,,
Morgane de la Montagne,"1232, rue de la Montagne",Centre-ville,,(514) 392-1970,1.5,Bistro,Réconfort,,,,,
Café Prague,"1317, ave. Van Horne",Outremont,,(514) 439-3778,1,Café,Déjeuner,Tchèque,,,,
Cabane Hot-Dogs,"1743, rue St-Denis",Le Sud Ouest,Quartier des Spectacles,(438) 386-3647,1,Réconfort,,,,,,
Pataterie Chez Philippe,"1877, rue Amherst",Le Village/Centre Sud,,(514) 528-5957,1,Poutine,Burgers,Sandwichs,Casse-Croute,Grilled Cheese,,
Les Baguettes D'Asie,"857, boul. Décarie",Ville Saint-Laurent,Ahuntsic-Cartierville,(514) 744-4608,1,Asiatique,Vietnamienne,Chinoise,,,,
Chef Kong,"237A, rue Ste-Catherine",Saint-Constant,,(450) 635-5727,1,Szechuannaise,Thaïlandaise,,,,,
L'Ô (Novotel Hotel),"1180, rue de la Montagne",Centre-ville,,(514) 861-6000,2,Française,Du Terroir,Déjeuner,Marché,Tartare,,
Highland Grill,"1012, rue Principale",Granby,,(450) 991-4050,2.5,Grillades,Tartare,,,,,
Da Lillo,"615, rue Jarry E.",Villeray-Saint-Michel,,(514) 276-1888,2,Italienne,Portugaise,Grillades,Pizza,,,
Kardio Kafe,"7345, boul. St-Laurent",Petite-Italie,Rosemont-Petite-Patrie,(514) 272-0399,1,Café,,,,,,
Lockhart,"3979, rue St-Denis",Le Plateau-Mont-Royal,Rue St-Denis,(514) 379-1208,1.5,Tapas,,,,,,
La Baraque du Vieux St-Vincent,"401, rue Saint-Vincent",Vieux-Montréal,,(514) 224-1000,2,Pub Food,Burgers,Pizza,Grillades,Sandwichs,Poutine,Salades
Masala Handi,"958, rue Jarry O",Ahuntsic-Cartierville,,(514) 277-7024,2,Pakistanaise,Indienne,Asiatique,Fusion,Barbecue-BBQ,Fruits de mer/Poissons,
Mademoiselle Grande-Côte,"39, chemin de la Grande-Cote",Boisbriand,,(450) 437-5620,1,Réconfort,,,,,,
Kantora,"327, boul. St-Martin O.",Laval-des-Rapides,Chomedey,(450) 967-9466,2,Asiatique,Grillades,,,,,
Chand Palace,"989, rue Jean Talon O",Parc-Extension,,(514) 271-6000,1,Indienne,,,,,,
Panino Espresso,"5124, rue Jean-Talon E",Anjou-St-Léonard,,(514) 721-9444,1,Café,Italienne,Sandwichs,Salades,,,
Chuch Végéthaïexpress,"4094, rue St-Denis",Le Plateau-Mont-Royal,Rue St-Denis,(514) 843-4194,2,Végétarienne,Thaïlandaise,,,,,
Sorella,"2979, boul. St-Charles",Kirkland,,,2,Bistro,Du Terroir,Internationale,Café,,,
La Brigade Volante,"2195, rue Masson",Rosemont-Petite-Patrie,,(514) 564-3900,2,Du Terroir,Déjeuner,,,,,
Sama Fusion,"945, rue Fleury E.",Ahuntsic-Cartierville,,(514) 388-8989,1,Sushi,,,,,,
Au 14 Prince-Arthur,"14, rue Prince-Arthur O",Le Plateau-Mont-Royal,,(514) 842-3512,1.5,Vietnamienne,,,,,,
Bombay Choupati,"5011, boul. des Sources",Pierrefonds-Roxboro,,(514) 421-3130,2,Indienne,,,,,,
Sun K,"261, boul. d'Anjou",Châteauguay,,(450) 691-0511,1,Chinoise,Canadienne,,,,,
La Boîte à Pizza,"1200, boul.Rome",Brossard,,(450) 659-9659,1,Pizza,Sandwichs,Réconfort,,,,
Marmite Africaine,"1344, ave. Van Horne",Outremont,Mile-End,(514) 270-1919,1,Africaine,,,,,,
Maison De Thé Cha Noir,"4611, rue Wellington",Verdun/Lasalle,,(514) 769-1242,1,Café,Asiatique,Indienne,Maison de thé,,,
Au Grain de Café,"30356, chemin de la Chapelle",Mont-Tremblant,,(819) 681-4567,1,Café,Bistro,Déjeuner,,,,
Da Giovanni Rapido,"2031, rue Frontenac",Le Village/Centre Sud,,(514) 903-7705,1,Pizza,Poutine,Pâtes,,,,
McBroue Resto Pub,"329, rue Victoria",Salaberry-de-Valleyfield,,(450) 371-0770,2,Pub Food,Grillades,,,,,
Pub 481,"481, rue de Frontenac RR 3",Berthierville,,(450) 836-1938,1,Pub Food,,,,,,
LOV,"464, rue McGill",Vieux-Montréal,,(438) 387-1326,2,Végétalienne,Végétarienne,Santé,,,,
Samourai,"149, rue Principale RR 6",Saint-Sauveur,,(450) 227-1466,2.5,Japonaise,Grillades,,,,,
Bistro Du Marche,"905, rue du Marché-Central",Ahuntsic-Cartierville,,(514) 389-0376,1,Bistro,Déjeuner,,,,,
Pizza Bellevue,"39, rue Sainte-Anne",Sainte-Anne-de-Bellevue,,(514) 457-4457,1,Pizza,,,,,,
NumNum,"9564 A, boul. Gouin O",Pierrefonds-Roxboro,,(514) 875-6133,1,Moyen Orientale,Halal,,,,,
Vertigo Boisbriand,"3305,  ave. des Grandes Tourelles",Boisbriand,,(450) 951-8425,2.5,Burgers,Fish & Chips,Tartare,Salades,Réconfort,Grillades,
Rodos Brochetterie,"5015, chemin Queen-Mary",Côte-des-Neiges,,(514) 738-0864,1,Grecque,Méditerranéenne,Grillades,,,,
Bistro Lustucru,"5159, ave. Du Parc",Outremont,Mile-End,(514) 439-6701,2.5,Bistro,Marché,Créative,Tartare,,,
Naga995,"1190, rue Notre-Dame",Lavaltrie,,(450) 935-3636,1,Asiatique,,,,,,
Saumon Sushi,"8519, boul. St-Laurent",Ahuntsic-Cartierville,,(514) 389-1940,1,Sushi,,,,,,
Rôtisserie Romados,"115, rue Rachel E",Le Plateau-Mont-Royal,,(514) 849-1803,1,Portugaise,Grillades,Rôtisserie,,,,
Exception Bistro Resto,"5039, chemin Queen-Mary",Côte-des-Neiges,,(514) 344-0508,1,Déjeuner,Cacher,Bistro,Italienne,,,
Savoroso,"720, rue Minto",Sherbrooke,,(819) 346-2206,1,Café,Crème glacée,Sandwichs,,,,
Café des Cours - Black Rock Grill,"577, rue  Notre-Dame suite 120",Repentigny,,(450) 581-8555,2.5,Déjeuner,Grillades,Internationale,Café,Réconfort,Tartare,
Kasa Sushi,"2190, ave. du Mont-Royal E",Le Plateau-Mont-Royal,,(514) 564-3456,1.5,Sushi,Japonaise,Asiatique,,,,
Sumidojo Izakaya,"3479, boul. St-Laurent",Centre-ville,Boul. St-Laurent/Main,(514) 507-7864,2,Japonaise,Asiatique,Ramen,,,,
La Caverne,"5184 A, chemin de la cote-des-Neiges",Côte-des-Neiges,,(514) 738-6555,2,Russe,Végétarienne,,,,,
Jardin Des Fondues,"186, rue Ste-Marie",Terrebonne/Lachenaie,,(450) 492-2048,2,Française,Fondue,Tartare,Raclette,,,
Café Bistro Bobby Mcgee,"3213, rue Ontario E",Hochelaga-Maisonneuve,Montréal-Est,(514) 526-7668,1,Café,Bistro,,,,,
Sushi Yen,"1368, ave. Van Horne",Outremont,,(514) 278-3838,2,Asiatique,Sushi,Fusion,,,,
Au Bec Sucré,"5677, chemin de l'Aéroport",Granby,,(450) 532-3771,2,Cabane à sucre,,,,,,
Maison Lim,"20, rue Valmont",Repentigny,,(450) 585-8838,1,Chinoise,,,,,,
Le Festin du Gouverneur,"20, chemin du Tour de l'îsle",Parc-des-Iles,,(514) 879-1141,3,Du Terroir,Française,Tartare,,,,
La Ligne Rouge,"414, rue Jean-Talon E",Villeray-Saint-Michel,,(514) 277-2222,1,Réconfort,Sandwichs,Poutine,,,,
L'ASSOMMOIR Notre-Dame,"211, rue Notre-Dame O.",Vieux-Montréal,,(514) 272-0777,2,Tapas,Méditerranéenne,Internationale,Fusion,Grillades,Fruits de mer/Poissons,
Li Wah Café,"10815, boul. Pie-IX",Montréal-Nord,,(514) 323-4870,1,Chinoise,,,,,,
Casserole Kréole,"4800, rue de Charleroi",Montréal-Nord,,(514) 508-4844,1,Créole,Caraïbéenne,,,,,
La Perle,"4230, boul. St-Jean",Dollard-des-Ormeaux,,(514) 624-6010,2,Chinoise,Thaïlandaise,,,,,
La Capricieuse,"45, chemin Du Tour-du-Lac",Mont-Tremblant,,(819) 425-5557,2.5,Méditerranéenne,Italienne,Française,Tartare,,,
Toroli,"421, rue Marie-Anne E",Le Plateau-Mont-Royal,,(514) 289-9292,2.5,Fusion,Japonaise,,,,,
Le Tex Mex,"2212, rue St-Germain",Hochelaga-Maisonneuve,Montréal-Est,(514) 598-1234,2,Mexicaine,,,,,,
Atomic Café - Le 7ième,"3606, rue Ontario E",Hochelaga-Maisonneuve,Montréal-Est,(514) 500-1905,1,Café,,,,,,
Fixe,"5985, rue St-Hubert",Rosemont-Petite-Patrie,,(514) 270-6667,1.5,Café,,,,,,
Café de L'Atelier,"177-A, boul. St Jean Baptiste",Châteauguay,,(450) 692-1160,2,Café,Marché,Déjeuner,,,,
O'Frites,"519, rue Principale",Lachute,,(450) 562-9495,1,Poutine,Réconfort,,,,,
Spicy Noodle,"3575, ave. du Parc",Centre-ville,,(514) 847-0222,1,Chinoise,Asiatique,,,,,
Pizzeria Poissonnerie Montréal,"1534, rue Jarry E",Villeray-Saint-Michel,Rosemont-Petite-Patrie,(514) 722-5722,1,Fruits de mer/Poissons,Pizza,Burgers,Poutine,Sandwichs,,
Philémon Bar,"111, rue St-Paul O",Vieux-Montréal,,(514) 289-3777,1.5,Internationale,,,,,,
Else's,"156, rue Roy E",Le Plateau-Mont-Royal,,(514) 286-6689,1,Pub Food,,,,,,
Les Empanadas Pachamama,"1371, rue Ste-Catherine E.",Le Village/Centre Sud,,(514) 379-1371,1,Argentine,Latino Américaine,,,,,
Hwang-Kum,"5908, rue Sherbrooke O",Monkland Village,Notre-Dame-de-Grâce (NDG),(514) 487-1712,1,Coréenne,,,,,,
Trattoria A Modo Mio,"2020, boul René-Gaultier",Varennes,,(450) 985-2020,1.5,Italienne,Pizza,,,,,
La Belle Merveilleuse,"8123, ave. André-Ampère",RDP-Pointe-aux-Trembles,Montréal-Est,(514) 494-3599,1,Créole,,,,,,
Auberge Sauvignon,"2723, chemin du Village",Mont-Tremblant,,(819) 425-5466,3,Grillades,Fruits de mer/Poissons,Déjeuner,,,,
Chef on Call,"3430, ave. du Parc",Centre-ville,Quartier des Spectacles,(514) 844-2044,1.5,Sandwichs,Burgers,Salades,,,,
Le Mouton Noir Bistro,"2301, Rue De l'Eglise RR",Val-David,,(819) 322-1571,1,Bistro,,,,,,
Wild Willy's,"20, ave. Cartier",Pointe-Claire,,(514) 695-5022,1,Crème glacée,,,,,,
Café Espresso Btea,"1875, rue Panama",Brossard,,(450) 466-1688,1,Café,Japonaise,,,,,
Junis,"3362, boul. Grande-Allée",Saint-Hubert,Longueuil,(450) 812-3455,2,Coréenne,Japonaise,Sushi,,,,
Luckys Bar Et Grill,"598, boul. Saint-Jean-Baptiste",Mercier,,(450) 201-0570,1,Grillades,,,,,,
Nouilles Zen Noodles,"247, boul. d'Anjou",Châteauguay,,(450) 844-7575,1,Asiatique,,,,,,
Maam Bolduc,"4351, ave. de Lorimier",Le Plateau-Mont-Royal,,(514) 527-3884,1,Du Terroir,Poutine,Déjeuner,Réconfort,,,
Espace Culinaire Fletchers,"4040-#R01, boul. St-Laurent",Boul. St-Laurent/Main,Le Plateau-Mont-Royal,(514) 840-9300,1,Café,Juive,,,,,
Del Vecchio Mulino,"53, boul. Sir-Wilfrid-Laurier",Beloeil,,(450) 467-2002,2.5,Italienne,,,,,,
Rôtisserie Champêtre,"815, boul. De l'Ange-Gardien",L'Assomption,,(450) 589-1335,1,Rôtisserie,,,,,,
Kristangelo,"13045, rue Sherbrooke E",RDP-Pointe-aux-Trembles,,(514) 644-0123,1.5,Italienne,Pizza,,,,,
Broadway Pizzeria,"34, ave. Broadway",RDP-Pointe-aux-Trembles,Montréal-Est,(514) 645-0202,1,Pizza,,,,,,
Méridional,"550, chemin de Chambly",Longueuil,Vieux Longueuil,(450) 679-4242,2,Méditerranéenne,,,,,,
Au Poulet Nouveau Inc,"1089, montee Masson",Mascouche,,(450) 474-4101,1.5,Canadienne,,,,,,
Marché 27,"27, rue Prince-Arthur O",Le Plateau-Mont-Royal,Rue Prince-Arthur,(514) 287-2725,2,Française,Bistro,Tartare,,,,
Le Castel des Prés,"5800, boul. Gene-H.-Kruger",Trois-Rivières,,(819) 375-4921,2,Française,Tapas,Tartare,,,,
Brasserie Central,"4858, rue Sherbrooke O",Westmount,,(514) 439-0937,1.5,Marché,Bistro,Déjeuner,,,,
Vegan Stew Bar par Grannysima,"12, rue Maguire",Le Plateau-Mont-Royal,,(438) 832-3366,1,Végétalienne,Pâtes,Bar à jus et smoothies,,,,
Sushi Jazz,"54, rue Alexandre",Salaberry-de-Valleyfield,,(450) 377-8744,1.5,Sushi,Japonaise,Sandwichs,Salades,,,
Bistro Sanguinet,"308, rue Ste-Catherine E",Quartier Latin,Le Village/Centre Sud,(514) 841-9143,1,Bistro,Sandwichs,Déjeuner,Café,,,
La Confrérie,"753, rue Saint-Pierre",Terrebonne/Lachenaie,,(450) 824-7077,2,Réconfort,Burgers,Poutine,Salades,,,
Bistro Isakaya,"3469, ave. du parc",Le Plateau-Mont-Royal,,(514) 845-8226,2,Japonaise,Bistro,,,,,
Melting Spot,"4126, rue Ste-Catherine O",Westmount,,(514) 603-0102,1,Café,Sandwichs,Salades,Desserts et Sucreries,,,
Chalet du Ruisseau,"12570, rang Lafresnière",Mirabel,,(450) 258-3176,1.5,Cabane à sucre,,,,,,
La Forge Bar & Grill,"3041, chemin de la Chapelle",Mont-Tremblant,,(819) 681-4900,2,Grillades,Fruits de mer/Poissons,,,,,
Caffe In Gamba,"5263, ave. du Parc",Outremont,,(514) 656-6852,1,Café,Sandwichs,,,,,
Arëm,"1619B, rue William",Griffintown,Le Sud Ouest,(514) 846-1234,3.5,Tapas,Moyen Orientale,Turque,,,,
Jardin Iwaki,"5887, rue Sherbrooke",Monkland Village,Notre-Dame-de-Grâce (NDG),(514) 482-1283,1,Japonaise,,,,,,
Les Fillettes,"1226, ave. Van Horne",Outremont,,(514) 271-7502,2.5,Bistro,,,,,,
Le Sauvignon,"140, rue Principale",Saint-Sauveur,,(450) 227-2232,2,Française,Grillades,Tartare,,,,
Bocadillo,"3677, boul. Saint-Laurent",Le Plateau-Mont-Royal,Boul. St-Laurent/Main,(514) 227-4041,1,Vénézuélienne,Latino Américaine,Sandwichs,Déjeuner,,,
Maïs,"5439, boul. St-Laurent",Mile-End,Boul. St-Laurent/Main,(514) 507-7740,1,Mexicaine,Latino Américaine,,,,,
Au Bon Gout D'Asie,"1485, rue Saint-Antoine",Saint-Hyacinthe,,(450) 771-0888,1,Vietnamienne,Cambodgienne,Thaïlandaise,,,,
Le Falco,"5605, ave de Gaspé",Le Plateau-Mont-Royal,Rosemont-Petite-Patrie,(514) 272-7766,1,Café,Japonaise,,,,,
C'Chocolat,"1255, rue Bishop",Centre-ville,,(514) 392-7777,1,Chocolaterie,Desserts et Sucreries,Crêperie,,,,
La Quintessence,"3004, chemin de la chapelle",Mont-Tremblant,,(819) 425-3400,4,Française,Tartare,,,,,
Cosmos,"5843, rue Sherbrooke O.",Notre-Dame-de-Grâce (NDG),,(514) 486-3814,1,Burgers,Déjeuner,,,,,
La Maison de Banh Mi,"1263, rue St-Catherine",Le Village/Centre Sud,,(438) 386-3979,1,Vietnamienne,Sandwichs,,,,,
Bistro on the Avenue,"1362, ave. Greene",Westmount,Centre-ville,(514) 939-6451,1.5,Bistro,Française,Burgers,Végétarienne,Grillades,Déjeuner,Tartare
Imperial Express,"5335A, chemin Queen-Mary",Côte-des-Neiges,,(514) 482-6688,2,Asiatique,Thaïlandaise,,,,,
Resto 2-30,"230, rue Saint Venant",Sainte-Agathe-des-Monts,,(819) 326-3994,2.5,Internationale,,,,,,
Léo Pizza,"5455, boul. Grande Allée",Brossard,Saint-Hubert,(450) 445-4445,1,Pâtes,Pizza,Italienne,,,,
Rubis Rouge - Red Ruby Rouge,"1008, rue Clark",Quartier Chinois,,(514) 390-8828,2,Chinoise,Szechuannaise,,,,,
India's Oven,"454, rue Jean-Talon O",Parc-Extension,Villeray-Saint-Michel,(514) 509-8678,1,Indienne,,,,,,
Thai Ya,"3194, chemin Gascon",Terrebonne/Lachenaie,,(450) 325-1865,1,Thaïlandaise,Cambodgienne,Chinoise,,,,
Al Quds,"10380, rue Gouin O",Pierrefonds-Roxboro,,(514) 683-2828,1,Libanaise,Halal,,,,,
Cuisine Bangkok,"1327, rue Ste-Catherine E.",Le Village/Centre Sud,,(514) 935-2178,1,Thaïlandaise,Asiatique,,,,,
Mamma Mia,"6070, chemin de la Cote-St-Luc",Côte-Saint-Luc,Notre-Dame-de-Grâce (NDG),(514) 488-9504,1,Italienne,Pizza,,,,,
Ace Grill & Bar,"420, rue Sherbrooke O",Centre-ville,Quartier des Spectacles,(514) 844-5987,1.5,Grillades,Pizza,Italienne,Pâtes,Smoked Meat,Burgers,Internationale
Yuhwa Sun,"1450, rue City Councillors",Centre-ville,,(514) 849-8678,2,Chinoise,,,,,,
Olives et Café Noir,"1109, rue Beaubien E",Villeray-Saint-Michel,,(514) 274-4366,1,Sandwichs,Salades,Desserts et Sucreries,,,,
Mangia,"1101, boul. de Maisonneuve O",Centre-ville,,(514) 848-7001,1,Café,Deli,Sandwichs,,,,
Café les Oubliettes,"6201, rue de St-Vallier",Rosemont-Petite-Patrie,,439-384-6688,1,Café,Desserts et Sucreries,Sandwichs,,,,
Nestor Picore Gourmandises,"431, chemin Ozias Leduc",Mont-Saint-Hilaire,Otterburn Park,(450) 281-1977,1,Bistro,Crème glacée,Desserts et Sucreries,,,,
Eggsfrutti,"6710, rue Saint Jacques",Notre-Dame-de-Grâce (NDG),,(514) 487-3444,1,Déjeuner,,,,,,
La Taverne Monkland (Monkland Tavern),"5555, ave. de Monkland",Notre-Dame-de-Grâce (NDG),,(514) 486-5768,2,Fusion,Internationale,,,,,
Roman,"110, boul. Labelle",Sainte-Thérèse,,(450) 435-2441,2,Italienne,Déjeuner,Grillades,Pizza,,,
Sushi Edomaé,"235D, rue Ste-Catherine",Saint-Constant,,(450) 638-8808,2,Sushi,Japonaise,,,,,
Troisi,"583, montée Masson",Mascouche,,(450) 918-7868,2,Italienne,Pizza,,,,,
Banh Mi Banh Yiu,"255A, rue St-Viateur O.",Le Plateau-Mont-Royal,Mile-End,(514) 379-1400,1,Vietnamienne,Sandwichs,,,,,
Sushi Bonsa,"4818, rue St-Denis",Rue St-Denis,Le Plateau-Mont-Royal,(514) 282-8868,1.5,Sushi,Végétarienne,,,,,
Time Pizza,"3681, rue Wellington",Verdun/Lasalle,,(514) 767-2323,1,Pizza,Burgers,,,,,
Le Petit Sud,"3456, rue Fleury E.",Villeray-Saint-Michel,Ahuntsic-Cartierville,(514) 329-3239,1,Barbecue-BBQ,Grillades,Salades,Burgers,Sandwichs,Réconfort,
Toucheh,"351, ave. Prince Albert",Westmount,,(514) 369-6868,2,Iranienne,Italienne,Méditerranéenne,Moyen Orientale,,,
Fay Wong,"7020, chemin de la Côte-Saint-Luc",Côte-Saint-Luc,,(514) 484-6663,1,Chinoise,Szechuannaise,Asiatique,,,,
L'Anecdote,"801, rue Rachel E.",Le Plateau-Mont-Royal,,(514) 526-7967,1,Burgers,Sandwichs,Déjeuner,Poutine,,,
Peel Pub,"1196, rue Peel",Centre-ville,,(514) 844-7296,1.5,Pub Food,Sandwichs,Burgers,Salades,Déjeuner,,
Tre Marie,"6934, rue Clark",Mile-Ex,Petite-Italie,(514) 277-9859,2,Italienne,,,,,,
Le Félix-Gabriel,"725, boul. du Séminaire Nord",St-Jean-Sur-Richelieu,,(450) 348-7376,2,Du Terroir,Contemporaine/Moderne,Marché,Bistro,,,
Grille de Ville,"5834, ave du Parc",Mile-End,Outremont,(514) 270-6333,1.5,Italienne,Méditerranéenne,Pizza,Sandwichs,,,
Pho Nguyen,"1452, rue St-Mathieu",Centre-ville,,(514) 846-6688,1,Vietnamienne,,,,,,
Mercier Pizzeria,"941, rue St Joseph",Mercier,,(450) 692-7808,1,Pizza,,,,,,
Fat Mardis,"3035, chemin de la Chapelle",Mont-Tremblant,,(819) 681-2439,1.5,Réconfort,Fish & Chips,Salades,Barbecue-BBQ,Burgers,Créole,
Picolina,"7610, chemin De Chambly",Saint-Hubert,Longueuil,(450) 926-8486,2.5,Italienne,,,,,,
O'Frites,"519, rue Principale",Lachute,,(450) 562-9495,1,Poutine,Réconfort,,,,,
Café Cherrier,"3635, rue St-Denis",Le Plateau-Mont-Royal,Rue St-Denis,(514) 843-4308,2,Bistro,Café,,,,,
Montréal Chinese Crêpes & Dumplings,"37, ave. Westminster N.",Le Sud Ouest,,(514) 312-7284,1,Chinoise,Crêperie,Déjeuner,,,,
Mei Le Café Chinois,"5309, boul. St-Laurent",Mile-End,,(514) 271-5945,2,Chinoise,Szechuannaise,,,,,
Kitchen Galerie,"60, rue Jean-Talon E",Petite-Italie,Rosemont-Petite-Patrie,(514) 315-8994,2,Bistro,Française,Marché,Du Terroir,Tartare,,
Phanie B.B.Q.,"154, rue Notre-Dame",L'Épiphanie,,(450) 588-0288,1,Pizza,Barbecue-BBQ,,,,,
El Marrakechi,"773, rue St-François-Xavier",Terrebonne/Lachenaie,,(450) 326-1439,1,Marocaine,Méditerranéenne,Moyen Orientale,,,,
Café Prestige,"400, boul. St-Martin O",Laval-des-Rapides,,(450) 669-4918,1,Café,,,,,,
Le Brûloir,"343, rue Fleury O",Ahuntsic-Cartierville,,(514) 508-2888,1,Café,Sandwichs,Grilled Cheese,,,,
Dara Angkor,"359, boul. Lacombe",Repentigny,,(450) 654-3232,1,Szechuannaise,Thaïlandaise,,,,,
La Gazelle D'Or,"3162, rue Bélanger",Villeray-Saint-Michel,,(514) 725-9423,1,Méditerranéenne,Santé,,,,,
Kimono,"880, rue Richelieu",Beloeil,,(450) 464-4291,2,Japonaise,Sushi,,,,,
L'Express St-Zotique,"555, rue Saint-Zotique E",Rosemont-Petite-Patrie,,(514) 495-3202,1,Sandwichs,Salades,Déjeuner,Bar à jus et smoothies,,,
Salumi Vino,"358, boul. Notre-Dame E",Vieux-Montréal,,(514) 759-0505,2,Italienne,,,,,,
Napolitana,"5511, rue de Verdun",Verdun/Lasalle,,(514) 564-5111,1.5,Italienne,Salades,Pâtes,,,,
Le royal,"676, rue Labelle",Saint-Jérôme,,(450) 432-1173,2,Canadienne,Réconfort,Déjeuner,Café,,,
